Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Rwanda,RWA,"Population, total",SP.POP.TOTL,8213931,8287094,8400180,8586875,8816844,9054528,9299246,9549933,9804269,10829901,11093340,11364757,11640022,11919183,12202060,12487996,12776103,13065837,13355260,13651030,13954471,14256567,..
Rwanda,RWA,Population growth (annual %),SP.POP.GROW,0.806991709703052,0.886774966312804,1.35537693210796,2.19817405049677,2.6429108159401,2.66009812240039,2.66683575241351,2.66008171576066,2.62837643087324,2.39380128171382,2.40340085493768,2.41721473954366,2.39322566941773,2.36997866838859,2.34556709244995,2.31630729613291,2.28086099658628,2.24244883430144,2.1909353521865,2.19046619232976,2.1984982050137,2.14176839550509,..
Rwanda,RWA,Surface area (sq. km),AG.SRF.TOTL.K2,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26338,..,..
Rwanda,RWA,Population density (people per sq. km of land area),EN.POP.DNST,332.952209160924,335.917875962708,340.501824077827,348.069517632752,357.391325496555,367.025861370085,376.945520875557,387.107134171058,397.416659910823,438.990717470612,449.669233887313,460.671139035266,471.829023104986,483.144831779489,494.611268747467,506.201702472639,517.880137819214,529.624523713012,541.35630320227,553.345358735306,565.645358735306,..,..
Rwanda,RWA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,39.1,..,..,38.2,..,..,..,..,..,..,27.4,..,..
Rwanda,RWA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,82.3,..,..,..,..,74.2,..,..,..,..,65.2,..,..,63.8,..,..,..,..,..,..,38.6,..,..
Rwanda,RWA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2189360562.44179,2190205083.67362,2174833857.53469,2143751089.54007,2377984513.54376,2830532002.63055,3228333642.87241,3788110054.75765,4649481931.58521,7431788069.81341,7837464297.06312,8178882300.20384,8555457932.33271,8655609787.83402,8796938553.70472,9589999235.7079,10439961524.5394,10011918345.1028,11252796488.1768,12779808953.6617,13938636237.525,14790509313.4318,..
Rwanda,RWA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,270,260,260,250,270,310,350,400,470,690,710,720,740,730,720,770,820,770,840,940,1000,1040,..
Rwanda,RWA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,4967326369.22186,5487834016.47797,6319469102.16096,6555595967.72408,7234669903.70799,8201203741.29249,9237866328.50995,10260203960.5849,11591084780.1138,15541031573.0347,16493100247.9963,18628231093.605,20334012226.0115,21636033367.5603,23256618421.7879,25585518828.5755,28841853147.0782,29159514342.8138,35760738775.7193,41411102544.3883,46510230754.1554,51601722849.499,..
Rwanda,RWA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,600,660,750,760,820,910,990,1070,1180,1440,1490,1640,1750,1820,1910,2050,2260,2230,2680,3030,3330,3620,..
Rwanda,RWA,Income share held by lowest 20%,SI.DST.FRST.20,5.2,..,..,..,..,4.6,..,..,..,..,6,..,..,6,..,..,..,..,..,..,7.4,..,..
Rwanda,RWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.798,49.49,51.262,53.529,55.52,56.968,58.342,59.504,60.641,64.189,64.651,65.088,65.419,65.733,66.14,66.354,66.691,66.953,66.85,67.528,67.785,..,..
Rwanda,RWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.967,5.893,5.816,5.737,5.64,5.5,5.335,5.141,4.922,4.201,4.136,4.117,4.108,4.106,4.084,4.047,3.985,3.913,3.841,3.778,3.698,..,..
Rwanda,RWA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,47.24,45.656,42.566,41.423,41.01,40.283,39.131,39.236,40.587,40.658,40.826,39.77,38.552,36.55,34.251,32.495,32.019,31.514,31.158,31.057,30.779,..,..
Rwanda,RWA,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,13.2,..,..,..,..,17.4,..,..,36.4,..,..,..,53.2,..,..,..,..,64.1,..,..,..,..,..
Rwanda,RWA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,31.3,..,..,..,..,38.6,..,..,52.1,..,..,..,90.7,..,..,..,..,94.2,..,..,..,..,..
Rwanda,RWA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,184.9,166.8,149.4,133.3,118.1,104.9,93.7,84.5,76.2,54.5,51.7,49.6,47.8,46.3,45.2,44.3,43.4,42.5,41.6,40.8,40,..,..
Rwanda,RWA,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,20.3,..,..,..,..,17.9,..,..,..,10.9,..,..,9.6,..,..,12.3,..,7.7,..,..,..,..,..
Rwanda,RWA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,74,69,69,90,84,89,95,94,92,97,95,97,96,95,97,99,96,94,87,99,96,97,..
Rwanda,RWA,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,..,26.5409393310547,31.7821998596191,43.0246887207031,41.7583999633789,..,..,..,53.0556182861328,74.8167686688917,58.8075224064365,64.2972970895872,63.1980644451776,67.7449990888319,76.0721783802394,84.2233360485587,95.977301224131,..,95.4018170049936,..,59.3042433145261,66.8181034887911,..
Rwanda,RWA,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,121.944969177246,123.550239562988,123.162269592285,131.434463500977,138.091659545898,148.047485351562,154.816009521484,154.724563598633,153.371821344578,123.706003554374,138.315807313314,137.243191055886,140.620022753129,139.309946965821,137.129353849659,138.020075127914,..,151.063571867834,148.752482099863,151.894816720753,149.572183149389,..
Rwanda,RWA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,11.1507501602173,12.1046600341797,13.584939956665,15.3283996582031,16.4831008911133,18.1992893218994,20.3850002288818,22.1014308929443,39.662769317627,30.2092864949597,41.8218654918977,39.4099042857311,38.506238583342,39.6912128982215,41.1796940634956,44.0779032495009,..,44.1820840550314,44.1547093958443,45.1251505756161,48.790277194547,..
Rwanda,RWA,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.93997997045517,0.963789999485016,0.976870000362396,0.980130016803741,0.997940003871918,1.00641000270844,1.02309000492096,1.00548994541168,1.0050300359726,1.02889001369476,1.03242003917694,1.03743004798889,1.02611005306244,1.01540005207062,1.01505994796753,1.01159000396729,1.00995004177094,..,1.02298998832703,..,..,..,..
Rwanda,RWA,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,4.9,4.8,4.6,4.4,4.2,4.1,4,3.9,3.8,3.5,3.4,3.3,3.2,3.1,3,2.9,2.7,2.6,2.4,2.3,2.2,2,..
Rwanda,RWA,Forest area (sq. km),AG.LND.FRST.K2,2870,2848,2826,2804,2782,2760,2738,2716,2694,2670,2680,2690,2700,2720,2730,2740,2750,2760,2770,2780,2790,..,..
Rwanda,RWA,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,10.7,9.6,8.8,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,9.1,..
Rwanda,RWA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,1.57894736842105,1.79325207368421,2.00755678947368,2.22186149473684,2.43616621052632,2.65047091578947,2.91227937894737,3.17408785263158,3.43589631578947,4.48313018947368,4.7449386631579,5.00674712631579,5.2685556,5.53036407368421,5.7921725368421,6.05398101052632,6.42105263157895,6.42105263157895,6.42105263157895,6.42105263157895,..,..,..
Rwanda,RWA,Urban population growth (annual %),SP.URB.GROW,8.08083176249647,5.64063580854919,3.32479230086688,2.29795473519903,2.68595662077977,2.6908450571903,2.68934981041493,2.67823997031345,2.64612716711945,2.44497953015304,3.18655194284357,4.89218676859769,6.27772586874097,7.33433249429036,8.06916696962031,8.51166548585975,8.70483012072618,8.69819879632089,8.52382771076354,8.41216905490219,5.99461839278821,5.64716525959838,..
Rwanda,RWA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,405.776823991798,406.223640037907,407.829159505775,396.494966802982,387.066145752688,352.136028277729,350.903344670586,347.627010114549,347.008912213796,354.165609155772,354.886177609396,352.158641161359,350.169173195487,347.74298432412,352.157966903596,355.698420076335,357.419084978587,358.132557033915,365.508479917565,372.991402429343,..,..,..
Rwanda,RWA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,25.3228326364076,26.1852948693474,28.451771271568,27.7167188296091,23.59120791975,24.5181195530015,28.1743272519084,27.6441730010043,29.9869373229151,35.3650508901236,33.1730569873456,35.284520381738,41.2370354626478,47.2347811087387,48.1885845504775,56.7745217086873,55.1811456122419,54.8759333213785,60.6502606463671,68.1267274337541,..,..,..
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,2068836754.37431,1966600715.49841,1966003468.49117,2138237278.73822,2376496067.01198,2933819766.17656,3319784538.73346,4070507894.61656,5179854064.57033,7654761050.18587,7819964030.17937,8238966124.23115,8543760199.80208,8695272057.91798,9252833891.40871,9637904520.86283,10349300276.7623,10174386856.6101,11078787090.1564,13316161002.3912,14331722703.4134,14251642235.0968,..
Rwanda,RWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.37089593548548,8.4845603416011,13.1920736254262,2.20238751139603,7.44766737034072,9.3778991673686,9.22707576798881,7.63329819125276,11.1612473247323,8.64150815836322,4.71984856978263,6.16716615166932,8.8568555974538,5.97074525431094,3.91817093628465,8.51646722592409,9.44738518613097,-3.37368746369782,10.8584320184896,8.16120720872912,8.24990302014558,8.89065529573114,..
Rwanda,RWA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.27539722143884,-0.39258927986296,-5.22720896305826,20.3613027187849,11.0949086013764,9.03080654832287,2.46160327416591,12.936041097788,14.4540325669763,4.7228346580055,2.68970175896683,4.73237348815783,0.485928791648902,5.03012214050614,8.16262594714252,-0.603329019206939,2.47117029507604,6.71183680148918,2.94541628893479,15.8113142236803,11.9488360924784,3.76207995661197,..
Rwanda,RWA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,31.1849871789041,31.7940006044905,30.1946865741942,33.0353672438095,33.895261824051,33.7756165293022,30.026108002825,26.068484121694,24.7805133299176,24.765432008534,24.9203167464094,24.6883207854521,23.9810045274251,25.1527094826327,26.3454376635445,24.6227246165566,23.560629300383,26.6559195496967,24.0706966220179,24.886975847496,26.612127488198,24.5807696089078,..
Rwanda,RWA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,16.8199894205861,16.4383277981487,16.3918384200183,14.2873220806925,14.5850139685545,14.9498202744611,15.8329921631119,16.7334821839077,16.2638385339331,18.2255034210874,17.6168559784511,17.5513834863908,17.4466631881327,16.8369912939315,17.2842232487373,17.3499797528636,18.8647459714312,18.6382750394843,20.4522932693169,21.2695312277805,20.703253350416,20.9658580178961,..
Rwanda,RWA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,5.37717849178342,7.26898430311878,6.18067969706938,7.77665392566841,10.3935220427215,10.6879847934518,10.8834165953429,13.6678238827712,11.2727549070714,11.9942781520571,13.4925358045666,13.8686615802081,13.2317868359616,15.4218031562888,20.5283808772972,21.10801098862,21.8254435390056,19.3259418342726,19.502494693488,22.4780615146911,25.0057307202908,30.8220804418076,..
Rwanda,RWA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,22.1076853332611,21.9299251345738,21.4287584191479,21.5339703097417,23.0681510603655,23.5285535484134,22.338020477063,22.3031493144566,26.3317559477341,28.5465848466622,29.2009566249696,30.0340721108669,31.9701887799487,34.0631039507003,33.1468865404281,34.6761153853403,36.1502193247898,35.8620097177129,34.7913371528487,38.667017988674,39.9011734217134,39.1323331262486,..
Rwanda,RWA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,12.2911723538114,12.7844289211049,12.6161021461481,13.1689898461308,14.3572006203523,15.1471395794747,15.0250898905664,16.7899322992344,21.3446999189279,23.3041445547138,24.4311537415127,23.2290320311828,24.240978094561,25.8958453602119,23.8350248025789,22.3221933243073,27.0287152007204,23.7346563348968,26.7349156072212,25.7418263768417,23.5855215423605,25.914149825303,..
Rwanda,RWA,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,18.2524162001332,18.9428692646113,20.0240726339695,19.7925342111095,20.4227338538169,20.7410796579794,21.3818577874299,21.432681776389,19.7066663536462,19.2932037561578,..,..
Rwanda,RWA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.2029781445095,26.0939170525579,24.5156389261776,..
Rwanda,RWA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,12.9476292724141,13.2938948825463,14.416149504273,13.4513713883394,14.2497109145248,14.6053573051595,15.0744687983707,14.4637097844237,13.6800512047892,13.5080695479594,..,..
Rwanda,RWA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,3.53550295857988,3.39622641509434,3.04893350062735,2.44712990936556,1.97346600331675,1.74305555555556,1.64391043145822,1.36567834681042,1.30649717514124,1.04224962789709,1.05488528481013,1.10273875155611,1.21369473342003,1.24050679129546,1.24889524304653,1.23514702337913,1.19793121977431,1.47371574450349,1.5121767339852,1.33346574344023,1.25231620743593,1.24772078121775,..
Rwanda,RWA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0.474803,0.784352,0.980824,1.52232,1.55692,2.46261,3.37878,6.6507,13.4904,52.5467,60.2989,68.167,75.2543,74.8502,72.2765,77.6795,75.5985,81.2379,81.6382,80.5952,91.4623,..,..
Rwanda,RWA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,..,..,..,..,..,..,..,..,..,5.08510868802662,4.99734663070137,11.85599169714,15.3250917465076,13.5312841197923,2.66118423802865,2.58732381679454,10.7603832689793,7.55938643936416,5.10240802707913,4.78472979585672,..,..,..
Rwanda,RWA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,12.7124578313837,18.6616427578685,15.9206229803966,15.0591332029349,16.0740850911778,20.3148130253661,22.2303583678221,23.289477002459,27.8386221315217,37.7673448073183,38.4272867292342,38.754862586572,35.2889117846477,34.3290006352572,36.5941941651402,38.9918782850068,41.8868897806894,46.99054662831,46.0248938670415,49.3911120391151,53.6990573936171,64.7574493364153,..
Rwanda,RWA,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,58.0742664986,52.924388873,53.8065736202,54.1149537653,61.7900929216,72,107.1,104.8,85.3,93,89.5,97.2,100,100.1,109.5,105.1,107.7,116.3,113.4,113.8,115,..,..
Rwanda,RWA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1289758077.6,1299040552.2,1452031421.5,1555052246.9,1670716289.3,1526467033.2,433571511,619217476.9,928908920.7,1814518289.8,2314567423.3,2909860018.3,3451961693,4318716827.6,5076087515.8,5681081205.9,6514940151.8,8193642650.5,9317675644.8,9690063879.9,11383983796.8,13050400791.1,..
Rwanda,RWA,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,..,..,..,..,..,..,..,..,..,7.54574697189554,8.31035258381037,12.6045874009016,12.6449823923794,14.5634730953585,12.7068520868692,12.7530652658762,14.3137505848254,14.6190620267709,29.1051912315759,11.4916966088178,15.3207102230575,7.97435072087266,..
Rwanda,RWA,Net migration,SM.POP.NETM,-153588,-152197,-91518,-25355,-31214,-33830,-34008,-32537,-31913,-25260,-16779,-19505,-21862,-24474,-25634,-25323,-24492,-22251,-21492,-9001,-9001,-15582,6282
Rwanda,RWA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,6626256.7967,7850030.5032,7210000,9618445.7614,9809775.6874,..,..,..,..,182402478.095309,170199422.507475,183593635.929828,159199957.034255,172516840.964389,215292394.793656,260511615.550821,260710294.704425,280069130.465371,391212400.254919,474156653.561344,518060502.154346,517043903.454705,..
Rwanda,RWA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8100000,18500000,1500000,4700000,7700000,7960000,30643970,82283170,102290000,269615550.35029,233763793.607834,313997162.787606,162083820.997161,279747327.598381,274025990.659944,366192315.50624,263172335.23,152614120.95,233384938.77,305101863.38,457644003.006828,572929300.014102,..
Rwanda,RWA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,321464660.644531,304660003.662109,359589996.337891,335963653.564453,491136993.408203,572706970.214844,605390319.824219,780037231.445313,935495117.1875,878636718.75,1086289306.64063,1035032470.70313,1089121704.10156,1150473999.02344,1231326049.80469,1119698974.60938,1169081542.96875,1626373779.29688,1331493530.27344,1075493896.48438,1387333129.88281,..,..
Rwanda,RWA,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..,10.9549598693848,11.8687896728516,12.6320600509644,14.3239402770996,15.2659702301025,17.0705509185791,19.0499095916748,20.7554893493652,40.8421783447266,31.6404940535794,43.2179310615644,40.5258619158058,39.8630035289782,41.5758285639592,43.2482338226061,46.5223774240521,..,47.0146410981496,47.5004278023246,48.7785157251447,53.3234802182678,..
Rwanda,RWA,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,..,120.272842407227,122.479949951172,122.313949584961,131.509048461914,138.56965637207,149.81477355957,155.521423339844,155.531448364258,152.948778994626,125.646655698363,139.294219924275,137.623868146983,140.058238009143,138.329890179208,135.671164830804,135.989654248484,..,150.058572897034,147.560163441617,149.60764980839,146.682959085712,..
Rwanda,RWA,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..,0.990939974784851,1.21949994564056,1.64212000370026,2.04975008964539,..,..,..,..,5.88864566828169,5.49002187851732,6.64965564712805,6.60785042893964,6.60169809168391,6.91370625402598,6.00708820625593,5.70377770174193,6.66873886891361,..,6.41267055461099,7.74449892974717,8.4032417181163,..
Rwanda,RWA,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..,..,..,..,..,..,..,..,..,..,..,..,30.19663,30.40812,..,38.78909,..,..,..,..,..,..,..
Rwanda,RWA,"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,..,..,82.45272,86.69476,..,..,..,..,..,..,..,..,..,99.47912,97.39013,95.13837,..,..,..,..,..,..,..
Rwanda,RWA,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,..,2.58442997932434,..,..,..,..,..,..,17.8878402709961,14.6622295379639,15.5388298034668,16.9534301757813,19.1725997924805,19.0898990631104,22.4665794372559,22.8208999633789,28.2415904998779,..,29.1100006103516,..,..,..,..
Rwanda,RWA,"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,48.47737,..,50.22333,47.24531,46.4305,46.2107,47.54112,47.19831,47.62071,52.70124,53.40576,53.78522,53.92947,53.94144,54.26129,54.13324,..,..,..,..,..,..,..
Rwanda,RWA,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,49.10816,50.22421,50.12557,47.48511,47.65931,47.21235,47.8135,47.63393,47.84645,52.21671,52.12076,52.49162,52.22141,52.53965,53.10014,53.156,..,..,..,..,..,..,..
Rwanda,RWA,"School enrollment, secondary (% net)",SE.SEC.NENR,..,..,..,..,..,..,..,..,..,..,..,..,28.1042,28.13633,..,35.87144,..,..,..,..,..,..,..
Rwanda,RWA,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,..,11.3555202484131,12.3513498306274,14.5793695449829,16.3739204406738,17.7487201690674,19.3729305267334,21.7730407714844,23.4994602203369,38.4494285583496,28.7689345915221,40.3806311034538,38.2584207869272,37.1080712961533,37.7536110631671,39.0597549004085,41.5815016465102,..,41.3068473240859,40.7702772278986,41.4315162645618,44.2477722705235,..
Rwanda,RWA,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,0.894289970397949,0.939040005207062,0.955209970474243,0.877960026264191,0.897830009460449,0.888880014419556,0.90531998872757,0.891269981861115,0.893249988555908,1.07516002655029,1.07623994350433,1.09551000595093,1.08518004417419,1.09850001335144,1.12241005897522,1.12419998645782,1.1319500207901,..,1.1450400352478,..,..,..,..
Rwanda,RWA,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,..,..,..,..,..,..,..,..,..,..,..,..,25.99671,25.84692,..,32.92642,..,..,..,..,..,..,..
Rwanda,RWA,"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,43.7177886962891,43.5411491394043,43.5942802429199,46.5077285766602,..,..,..,41.074520111084,37.1352882385254,18.9840507507324,17.9862308502197,12.8337602615356,16.4555702209473,15.5197095870972,13.6299200057983,12.4473400115967,11.3347301483154,..,11.55016040802,10.1805696487427,10.0874900817871,10.5964097976685,..
Rwanda,RWA,"Secondary education, general pupils",SE.SEC.ENRL.GC,97627,..,119777,140433,163076,178582,197671,223169,241143,476281,501504,499126,467709,478695,531377,569711,..,..,..,..,..,..,..
Rwanda,RWA,"Secondary education, duration (years)",SE.SEC.DURS,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,..
Rwanda,RWA,"Secondary education, pupils",SE.SEC.ENRL,129620,141163,157289,179153,203551,218517,239629,266518,288036,534712,556952,587069,567838,572324,610972,658285,732104,..,782846,800456,819262,901617,..
Rwanda,RWA,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.969110012054443,0.992980003356934,0.993369996547699,0.993929982185364,1.00425004959106,1.01460003852844,1.03680002689362,1.02532005310059,1.02925002574921,1.02243995666504,1.02392995357513,1.02469003200531,1.01361000537872,0.99879002571106,0.992640018463135,0.986310005187988,0.979759991168976,..,0.993879973888397,..,..,..,..
Rwanda,RWA,Progression to secondary school (%),SE.SEC.PROG.ZS,..,..,..,..,..,..,..,..,..,74.93462,71.82618,68.46453,72.02583,82.41147,72.66696,..,..,..,..,..,..,..,..
Rwanda,RWA,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,..,..,..,..,..,..,..,..,..,74.2635,71.03562,67.14811,70.9663,78.12549,72.04403,..,..,..,..,..,..,..,..
Rwanda,RWA,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,..,..,..,..,..,..,..,..,..,75.72798,72.76072,70.04375,73.30081,88.17147,73.41762,..,..,..,..,..,..,..,..
Rwanda,RWA,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,..,24.4894294738769,30.3770408630371,41.7730484008789,40.6290397644043,..,..,..,54.7251281738281,79.0543750716755,63.9888615888616,69.1375623663578,68.322431871909,73.7337308122607,85.4486569125753,91.0225253475489,102.371902474162,..,101.348167626624,..,65.063050613232,73.3082470994042,..
Rwanda,RWA,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,31.01069,35.95852,35.9572,16.67154,18.74939,..,14.57026,..,17.59652,12.73833,12.76948,17.59849,19.45491,19.282,17.66425,14.53765,..,..,..,..,..,..,..
Rwanda,RWA,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,32.54292,36.09305,36.09309,16.5118,18.83329,..,14.60962,..,17.70001,12.60861,12.45681,17.07883,18.79345,18.28248,16.14479,13.58886,..,..,..,..,..,..,..
Rwanda,RWA,"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,34.10121,36.22757,36.22757,16.35505,18.91453,..,14.64702,..,17.79997,12.48248,12.15326,16.57453,18.14417,17.28603,14.61896,12.62865,..,..,..,..,..,..,..
Rwanda,RWA,Lower secondary school starting age (years),SE.SEC.AGES,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,..
Rwanda,RWA,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,37.7241956407203,..,37.5726242186672,36.4876862823194,36.6978752167633,38.4176148091562,36.6600794150226,41.625658216405,..,42.410280241384,38.5606189834022,32.3257439316148,47.5778523975056,..
Rwanda,RWA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,76.8600006103516,..,..,..,..,68.21,..,..,..,83.4899978637695,..,86.2600021362305,89.1699981689453,..,..,88.5,..,92.6999969482422,..,92.370002746582,..,..,..
Rwanda,RWA,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,..,..,..,..,..,..,..,..,..,35.9350877822856,..,35.4937101499224,34.799740130441,34.7658294086865,36.44679902026,34.4610642464132,38.3623107122827,..,38.9437805864644,34.8774317933323,28.8771643011072,42.834791640645,..
Rwanda,RWA,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,..,..,..,..,..,..,..,..,..,39.4657975902351,..,39.5847058332986,38.1206585531095,38.5696971617329,40.334241487953,38.8092500691281,44.8303749459682,..,45.835599384071,42.2067940769585,35.7384961993836,52.3170499405548,..
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
